classid,moodleclass
2022T1E!$582!$E!$IEAP-1E!$COM-1-NEW,IEAP-1W-2022T1E
2022T1E!$582!$E!$IEAP-1E!$INTER-1,IEAP-1G-2022T1E
2022T1E!$582!$E!$IEAP-2E!$INTER-2,IEAP-2G-2022T1E
2022T1E!$582!$E!$IEAP-2E!$RE-2,IEAP-2W-2022T1E
2022T1E!$582!$E!$IEAP-3E!$INTER-3,IEAP-3G-2022T1E
2022T1E!$582!$E!$IEAP-3E!$RE-3,IEAP-3W-2022T1E
2022T1E!$582!$E!$IEAP-4E/1!$BP-07,IEAP-4G-2022T1E
2022T1E!$582!$E!$IEAP-4E/1!$RE-04,EHSS-11-R-2022T1E
2022T1E!$582!$E!$IEAP-4E/2!$BP-07,IEAP-4G-2022T1E
2022T1E!$582!$E!$IEAP-4E/2!$RE-04,EHSS-11-R-2022T1E
2022T1E!$582!$E!$PRE-BEGINNER/E!$BP-1,IEAP-PG-2022T1E
2022T1E!$582!$E!$PRE-BEGINNER/E!$INTER-BEG,IEAP-PW-2022T1E
2022T1E!$582!$M!$BEGINNER/M!$BP-2,IEAP-BG-2022T1E
2022T1E!$582!$M!$BEGINNER/M!$RE-FOUND,IEAP-BW-2022T1E
2022T1E!$582!$M!$IEAP-2M!$INTER-2,IEAP-2G-2022T1E
2022T1E!$582!$M!$IEAP-2M!$RE-2,IEAP-2W-2022T1E
2022T1E!$582!$M!$IEAP-3M!$INTER-3,IEAP-3G-2022T1E
2022T1E!$582!$M!$IEAP-3M!$RE-3,IEAP-3W-2022T1E
2022T1E!$582!$M!$IEAP-4M!$BP-07,IEAP-4G-2022T1E
2022T1E!$582!$M!$IEAP-4M!$RE-04,EHSS-11-R-2022T1E
2022T1E!$632!$E!$PRE-B2/A!$PRE-B2-FOUND,PREB2-FOUND-2022T1E
2022T1E!$632!$E!$PRE-B2/A!$PRE-B2-SMART,GESL-PB2-SMART-2022T1E
2022T1E!$632!$E!$PRE-B2/B!$PRE-B2-FOUND,PREB2-FOUND-2022T1E
2022T1E!$632!$E!$PRE-B2/B!$PRE-B2-SMART,GESL-PB2-SMART-2022T1E
2022T1E!$632!$E!$PRE-B2/C!$PRE-B2-FOUND,PREB2-FOUND-2022T1E
2022T1E!$632!$E!$PRE-B2/C!$PRE-B2-SMART,GESL-PB2-SMART-2022T1E
2022T1E!$632!$E!$PRE-B2/D!$PRE-B2-FOUND,PREB2-FOUND-2022T1E
2022T1E!$632!$E!$PRE-B2/D!$PRE-B2-SMART,GESL-PB2-SMART-2022T1E
2022T1E!$688!$E!$EHSS-11!$RE-04,EHSS-11-R-2022T1E
2022T1E!$688!$E!$EHSS-11!$V-6A,EHSS-11-3D-2022T1E
2022T1E!$688!$E!$EHSS-1A!$PRO-1A,EHSS-01-PRO-2022T1E
2022T1E!$688!$E!$EHSS-1A!$VB-1A,EHSS-01-2D-2022T1E
2022T1E!$688!$E!$EHSS-1B!$PRO-1A,EHSS-01-PRO-2022T1E
